run_id,date,symbol,timeframe,since,bars,method,is_primary,n_episodes,avg_bars,avg_width_pct,false_break_rate,coverage_pct,score,dur_median_bars,width_pct_median,escape_xatr_median,corr_contraction_vs_escape,params,out_dir,takeaway
021,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,241,60.8755,0.0297,0.1577,0.3088,197.1399,46.0,0.0287,2.202,-0.338,min_bars=24;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
022,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,109,73.1468,0.0285,0.1284,0.1678,92.3646,54.0,0.0284,2.332,-0.3124,min_bars=36;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
023,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,570,70.4439,0.05,0.1667,0.8452,452.3697,34.0,0.0435,2.128,-0.2216,min_bars=8;box_width_pct=0.04;escape_k=1.5;atr_period=14,(metrics-only),
024,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,500,70.598,0.0464,0.196,0.743,384.1712,37.5,0.0414,2.042,-0.2643,min_bars=12;box_width_pct=0.04;escape_k=1.5;atr_period=14,(metrics-only),
025,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,398,77.799,0.0458,0.1633,0.6518,318.4067,47.0,0.0417,2.07,-0.2439,min_bars=16;box_width_pct=0.04;escape_k=1.5;atr_period=14,(metrics-only),
026,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,287,83.662,0.0432,0.1707,0.5054,228.1503,60.0,0.0394,2.211,-0.2765,min_bars=24;box_width_pct=0.04;escape_k=1.5;atr_period=14,(metrics-only),
027,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,181,90.5912,0.0406,0.1768,0.3451,143.1798,68.0,0.0388,2.137,-0.2357,min_bars=36;box_width_pct=0.04;escape_k=1.5;atr_period=14,(metrics-only),
028,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.0221,0.3111,391.1776,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=1.0;atr_period=14,(metrics-only),
029,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.0686,0.3111,372.5501,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=1.25;atr_period=14,(metrics-only),
030,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.1152,0.3111,353.9226,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
031,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.1985,0.3111,320.5892,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=2.0;atr_period=14,(metrics-only),
032,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.2647,0.3111,294.1185,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=2.5;atr_period=14,(metrics-only),
033,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.152,0.3111,339.2167,26.0,0.0191,2.009,-0.2815,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=7,(metrics-only),
034,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.1152,0.3111,353.9226,26.0,0.0191,2.339,-0.1842,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
035,2026-06-03,BTC/USDT,1h,2021-01-01,47508,range_containment,1,408,36.223,0.02,0.0931,0.3111,362.7462,26.0,0.0191,2.495,-0.1363,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=21,(metrics-only),
036,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=12;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
037,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
038,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.01;escape_k=1.5;atr_period=14,(metrics-only),
039,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,4,13.5,0.0139,0.0,0.0045,3.9452,12.5,0.0142,3.122,-0.7528,min_bars=12;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
040,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=16;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
041,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.015;escape_k=1.5;atr_period=14,(metrics-only),
042,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,12,20.6667,0.0197,0.25,0.0209,8.8261,19.0,0.0193,1.996,0.6674,min_bars=12;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
043,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,3,22.3333,0.019,0.3333,0.0056,1.9627,21.0,0.0193,1.987,-0.7633,min_bars=16;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
044,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,0,0.0,,,0.0,0.0,,,,,min_bars=24;box_width_pct=0.02;escape_k=1.5;atr_period=14,(metrics-only),
045,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,47,23.0,0.0271,0.1064,0.091,40.8921,18.0,0.0274,2.493,0.1756,min_bars=12;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
046,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,17,30.8235,0.0278,0.1176,0.0441,14.5948,23.0,0.0271,2.165,-0.2421,min_bars=16;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
047,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,7,31.1429,0.0274,0.0,0.0184,6.8132,27.0,0.028,2.005,-0.4849,min_bars=24;box_width_pct=0.03;escape_k=1.5;atr_period=14,(metrics-only),
048,2026-06-03,BTC/USDT,4h,2021-01-01,11880,range_containment,1,142,33.1901,0.0503,0.1408,0.3967,116.1555,22.5,0.0477,2.104,-0.1077,min_bars=12;box_width_pct=0.05;escape_k=1.5;atr_period=14,(metrics-only),
